station_order,global_order,timestamp,route_info,date
1,1,23333.0,1/00720,1
2,1,23472.0,1/00720,1
3,1,23622.0,1/00720,1
4,1,23735.0,1/00720,1
5,1,23960.0,1/00720,1
6,1,24053.0,1/00720,1
7,1,24146.0,1/00720,1
8,1,24246.0,1/00720,1
9,1,24455.0,1/00720,1
10,1,24691.0,1/00720,1
11,1,24903.0,1/00720,1
12,1,25045.0,1/00720,1
13,1,25129.0,1/00720,1
14,1,25291.0,1/00720,1
15,1,25425.0,1/00720,1
16,1,25557.0,1/00720,1
17,1,25708.0,1/00720,1
18,1,25883.0,1/00720,1
19,1,26004.0,1/00720,1
20,1,26277.0,1/00720,1
21,1,26399.0,1/00720,1
22,1,26690.0,1/00720,1
23,1,26881.0,1/00720,1
24,1,27094.0,1/00720,1
25,1,27262.0,1/00720,1
26,1,27485.0,1/00720,1
27,1,27621.0,1/00720,1
28,1,27701.0,1/00720,1
29,1,27902.0,1/00720,1
1,2,24214.0,1/00720,1
2,2,24388.0,1/00720,1
3,2,24605.0,1/00720,1
4,2,24709.0,1/00720,1
5,2,24962.0,1/00720,1
6,2,25107.0,1/00720,1
7,2,25208.0,1/00720,1
8,2,25291.0,1/00720,1
9,2,25482.0,1/00720,1
10,2,25812.0,1/00720,1
11,2,25992.0,1/00720,1
12,2,26130.0,1/00720,1
13,2,26232.0,1/00720,1
14,2,26479.0,1/00720,1
15,2,26726.0,1/00720,1
16,2,26911.0,1/00720,1
17,2,27055.0,1/00720,1
18,2,27242.0,1/00720,1
19,2,27338.0,1/00720,1
20,2,27606.0,1/00720,1
21,2,27693.0,1/00720,1
22,2,27945.0,1/00720,1
23,2,28146.0,1/00720,1
24,2,28368.0,1/00720,1
25,2,28469.0,1/00720,1
26,2,28691.0,1/00720,1
27,2,28791.0,1/00720,1
28,2,28873.0,1/00720,1
29,2,29132.0,1/00720,1
1,3,25134.0,1/00720,1
2,3,25316.0,1/00720,1
3,3,25482.0,1/00720,1
4,3,25597.0,1/00720,1
5,3,25883.0,1/00720,1
6,3,26076.0,1/00720,1
7,3,26181.0,1/00720,1
8,3,26273.0,1/00720,1
9,3,26478.0,1/00720,1
10,3,26776.0,1/00720,1
11,3,26967.0,1/00720,1
12,3,27145.0,1/00720,1
13,3,27270.0,1/00720,1
14,3,27689.0,1/00720,1
15,3,27942.0,1/00720,1
16,3,28146.0,1/00720,1
17,3,28330.0,1/00720,1
18,3,28527.0,1/00720,1
19,3,28643.0,1/00720,1
20,3,28844.0,1/00720,1
21,3,28904.0,1/00720,1
22,3,29027.0,1/00720,1
23,3,29230.0,1/00720,1
24,3,29366.0,1/00720,1
25,3,29502.0,1/00720,1
26,3,29724.0,1/00720,1
27,3,29836.0,1/00720,1
28,3,29903.0,1/00720,1
29,3,30043.0,1/00720,1
1,4,25628.0,1/00720,1
2,4,25786.0,1/00720,1
3,4,26016.0,1/00720,1
4,4,26126.0,1/00720,1
5,4,26357.0,1/00720,1
6,4,26439.0,1/00720,1
7,4,26610.0,1/00720,1
8,4,26680.0,1/00720,1
9,4,26889.0,1/00720,1
10,4,27098.0,1/00720,1
11,4,27267.0,1/00720,1
12,4,27424.0,1/00720,1
13,4,27513.0,1/00720,1
14,4,27859.0,1/00720,1
15,4,28035.0,1/00720,1
16,4,28158.0,1/00720,1
17,4,28335.0,1/00720,1
18,4,28551.0,1/00720,1
19,4,28777.0,1/00720,1
20,4,29043.0,1/00720,1
21,4,29216.0,1/00720,1
22,4,29403.0,1/00720,1
23,4,29561.0,1/00720,1
24,4,29647.0,1/00720,1
25,4,29711.0,1/00720,1
26,4,30016.0,1/00720,1
27,4,30119.0,1/00720,1
28,4,30249.0,1/00720,1
29,4,30395.0,1/00720,1
1,5,26207.0,1/00720,1
2,5,26351.0,1/00720,1
3,5,26542.0,1/00720,1
4,5,26659.0,1/00720,1
5,5,26812.0,1/00720,1
6,5,26966.0,1/00720,1
7,5,27249.0,1/00720,1
8,5,27331.0,1/00720,1
9,5,27570.0,1/00720,1
10,5,27823.0,1/00720,1
11,5,28076.0,1/00720,1
12,5,28269.0,1/00720,1
13,5,28369.0,1/00720,1
14,5,28712.0,1/00720,1
15,5,28956.0,1/00720,1
16,5,29045.0,1/00720,1
17,5,29231.0,1/00720,1
18,5,29321.0,1/00720,1
19,5,29442.0,1/00720,1
20,5,29747.0,1/00720,1
21,5,29866.0,1/00720,1
22,5,30061.0,1/00720,1
23,5,30230.0,1/00720,1
24,5,30428.0,1/00720,1
25,5,30534.0,1/00720,1
26,5,30610.0,1/00720,1
27,5,30702.0,1/00720,1
28,5,30779.0,1/00720,1
29,5,30965.0,1/00720,1
1,6,26546.0,1/00720,1
2,6,26681.0,1/00720,1
3,6,26926.0,1/00720,1
4,6,27086.0,1/00720,1
5,6,27342.0,1/00720,1
6,6,27530.0,1/00720,1
7,6,27664.0,1/00720,1
8,6,27756.0,1/00720,1
9,6,28025.0,1/00720,1
10,6,28264.0,1/00720,1
11,6,28503.0,1/00720,1
12,6,28735.0,1/00720,1
13,6,28875.0,1/00720,1
14,6,29578.0,1/00720,1
15,6,29936.0,1/00720,1
16,6,30121.0,1/00720,1
17,6,30302.0,1/00720,1
18,6,30477.0,1/00720,1
19,6,30624.0,1/00720,1
20,6,30891.0,1/00720,1
21,6,30993.0,1/00720,1
22,6,31101.0,1/00720,1
23,6,31241.0,1/00720,1
24,6,31377.0,1/00720,1
25,6,31568.0,1/00720,1
26,6,31745.0,1/00720,1
27,6,31853.0,1/00720,1
28,6,31970.0,1/00720,1
29,6,32216.0,1/00720,1
1,7,26893.0,1/00720,1
2,7,27023.0,1/00720,1
3,7,27225.0,1/00720,1
4,7,27342.0,1/00720,1
5,7,27639.0,1/00720,1
6,7,27770.0,1/00720,1
7,7,27931.0,1/00720,1
8,7,28014.0,1/00720,1
9,7,28287.0,1/00720,1
10,7,28628.0,1/00720,1
11,7,28969.0,1/00720,1
12,7,29184.0,1/00720,1
13,7,29370.0,1/00720,1
14,7,30217.0,1/00720,1
15,7,30462.0,1/00720,1
16,7,30655.0,1/00720,1
17,7,30889.0,1/00720,1
18,7,31243.0,1/00720,1
19,7,31419.0,1/00720,1
20,7,31890.0,1/00720,1
21,7,31979.0,1/00720,1
22,7,32313.0,1/00720,1
23,7,32493.0,1/00720,1
24,7,32635.0,1/00720,1
25,7,32785.0,1/00720,1
26,7,33007.0,1/00720,1
27,7,33189.0,1/00720,1
28,7,33257.0,1/00720,1
29,7,33410.0,1/00720,1
1,8,27179.0,1/00720,1
2,8,27328.0,1/00720,1
3,8,27645.0,1/00720,1
4,8,27742.0,1/00720,1
5,8,28011.0,1/00720,1
6,8,28218.0,1/00720,1
7,8,28339.0,1/00720,1
8,8,28422.0,1/00720,1
9,8,28744.0,1/00720,1
10,8,29412.0,1/00720,1
11,8,29629.0,1/00720,1
12,8,29944.0,1/00720,1
13,8,30082.0,1/00720,1
14,8,30470.0,1/00720,1
15,8,30722.0,1/00720,1
16,8,31017.0,1/00720,1
17,8,31178.0,1/00720,1
18,8,31422.0,1/00720,1
19,8,31556.0,1/00720,1
20,8,31895.0,1/00720,1
21,8,31982.0,1/00720,1
22,8,32314.0,1/00720,1
23,8,32494.0,1/00720,1
24,8,32636.0,1/00720,1
25,8,32787.0,1/00720,1
26,8,33009.0,1/00720,1
27,8,33191.0,1/00720,1
28,8,33321.0,1/00720,1
29,8,33502.0,1/00720,1
1,9,27758.0,1/00720,1
2,9,27885.0,1/00720,1
3,9,28101.0,1/00720,1
4,9,28243.0,1/00720,1
5,9,28582.0,1/00720,1
6,9,28819.0,1/00720,1
7,9,29010.0,1/00720,1
8,9,29107.0,1/00720,1
9,9,29371.0,1/00720,1
10,9,29814.0,1/00720,1
11,9,30258.0,1/00720,1
12,9,30565.0,1/00720,1
13,9,30694.0,1/00720,1
14,9,31071.0,1/00720,1
15,9,31354.0,1/00720,1
16,9,31608.0,1/00720,1
17,9,31799.0,1/00720,1
18,9,32027.0,1/00720,1
19,9,32209.0,1/00720,1
20,9,32514.0,1/00720,1
21,9,32654.0,1/00720,1
22,9,32834.0,1/00720,1
23,9,33014.0,1/00720,1
24,9,33099.0,1/00720,1
25,9,33169.0,1/00720,1
26,9,33348.0,1/00720,1
27,9,33479.0,1/00720,1
28,9,33541.0,1/00720,1
29,9,33687.0,1/00720,1
1,10,28048.0,1/00720,1
2,10,28178.0,1/00720,1
3,10,28433.0,1/00720,1
4,10,28555.0,1/00720,1
5,10,29046.0,1/00720,1
6,10,29268.0,1/00720,1
7,10,29509.0,1/00720,1
8,10,29590.0,1/00720,1
9,10,29828.0,1/00720,1
10,10,30481.0,1/00720,1
11,10,30707.0,1/00720,1
12,10,30958.0,1/00720,1
